actor_id,a_gender,a_quality
4,1,4
16,1,0
28,1,4
566,1,4
580,1,4
636,1,0
769,1,4
797,1,4
802,1,4
808,1,3
817,1,0
851,1,3
888,1,4
894,1,3
923,1,4
962,1,4
978,1,3
989,1,4
1143,1,3
1276,1,3
1304,1,3
1348,1,0
1391,1,4
1517,1,4
1535,1,3
1554,1,4
1556,1,4
1583,1,3
1588,1,4
1595,1,4
1710,1,0
1805,1,4
1923,1,3
1927,1,0
1929,1,4
1930,1,0
1982,1,3
1993,1,4
2000,1,2
2007,1,3
2036,1,4
2039,1,4
2060,1,5
2065,1,4
2085,1,0
2117,1,4
2131,1,4
2132,1,4
2154,1,3
2177,1,3
2188,1,0
2192,1,0
2211,1,0
2212,1,3
2225,1,4
2241,1,4
2274,1,0
2304,1,3
2528,1,3
2540,1,3
2542,1,3
2553,1,3
2563,1,3
2593,1,4
2645,1,3
2661,1,0
2799,1,3
2806,1,4
2818,1,3
2930,1,3
3055,1,3
3105,1,3
3134,1,4
3142,1,3
3188,1,0
3191,1,2
3242,1,3
3300,1,4
3344,1,4
3391,1,4
3422,1,4
3424,1,3
3441,1,4
3467,1,2
3480,1,3
3543,1,3
3553,1,3
3639,1,4
3661,1,3
3681,1,0
3733,1,4
3740,1,4
3764,1,3
3781,1,0
3796,1,4
3818,1,2
3882,1,4
3976,1,4
4010,1,4
4047,1,4
4058,1,3
4066,1,3
4151,1,4
4232,1,4
4233,1,4
4258,1,4
4275,1,3
4333,1,3
4343,1,3
4357,1,3
4398,1,4
4419,1,3
4448,1,4
4450,1,3
4461,1,4
4472,1,4
4477,1,4
4490,1,3
4521,1,3
4536,1,4
4548,1,2
4556,1,4
4580,1,3
4590,1,3
4600,1,4
4602,1,3
4604,1,4
4605,1,4
4607,1,4
4609,1,2
4611,1,3
4667,1,2
4700,1,0
4781,1,4
4881,1,3
4909,1,3
4954,1,3
4972,1,4
4973,1,4
5012,1,3
5034,1,3
5079,1,3
5094,1,3
5104,1,4
5163,1,2
5164,1,4
5268,1,4
5282,1,0
5380,1,4
5552,1,4
5608,1,3
5609,1,0
5610,1,3
5681,1,3
5733,1,4
5834,1,0
5873,1,3
5894,1,4
5901,1,4
5909,1,4
5917,1,3
5969,1,4
5971,1,2
5988,1,3
6096,1,3
6163,1,3
6173,1,4
6224,1,4
6292,1,4
6293,1,4
6360,1,4
6369,1,4
6403,1,4
6409,1,3
6413,1,3
6442,1,3
6507,1,3
6528,1,3
6584,1,3
6685,1,0
6692,1,4
6719,1,3
6742,1,4
6751,1,4
6760,1,0
6830,1,3
6837,1,0
6845,1,1
6852,1,0
6870,1,3
6879,1,3
6893,1,3
6959,1,3
7058,1,3
7072,1,0
7075,1,2
7126,1,4
7155,1,4
7197,1,3
7246,1,3
7306,1,4
7349,1,4
7370,1,0
7389,1,0
7390,1,0
7426,1,4
7550,1,3
7598,1,0
7636,1,0
7650,1,0
7654,1,3
7662,1,3
7716,1,3
7811,1,4
7825,1,0
7882,1,4
8124,1,4
8125,1,4
8138,1,3
8192,1,3
8214,1,3
8257,1,3
8260,1,4
8308,1,3
8309,1,3
8325,1,3
8361,1,0
8385,1,0
8393,1,4
8484,1,4
8498,1,3
8519,1,4
8566,1,0
8571,1,2
8579,1,4
8595,1,3
8597,1,4
8621,1,0
8623,1,0
8624,1,4
8628,1,4
8652,1,4
8692,1,0
8703,1,0
8704,1,0
8730,1,2
8732,1,0
8733,1,4
8737,1,0
8745,1,4
8785,1,4
8794,1,4
8817,1,0
8821,1,3
8832,1,0
8883,1,4
8884,1,2
8919,1,2
8992,1,0
9014,1,3
9020,1,0
9037,1,3
9049,1,3
9065,1,4
9071,1,3
9074,1,4
9097,1,4
9180,1,4
9233,1,1
9235,1,3
9244,1,4
9253,1,3
9259,1,4
9284,1,0
9299,1,3
9303,1,0
9308,1,3
9310,1,4
9369,1,0
9404,1,3
9407,1,4
9419,1,4
9422,1,4
9431,1,3
9451,1,4
9457,1,4
9462,1,4
9471,1,3
9481,1,4
9492,1,4
9506,1,0
9557,1,0
9577,1,0
9581,1,3
9622,1,2
9632,1,3
9649,1,3
9650,1,4
9656,1,0
9661,1,4
9670,1,0
9683,1,0
9685,1,4
9698,1,1
9703,1,3
9734,1,2
9842,1,3
9860,1,3
9968,1,4
9981,1,3
10001,1,3
10009,1,4
10013,1,3
10054,1,3
10078,1,3
10095,1,4
10099,1,4
